
"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia"
"050335","SONORA REGIONAL MEDICAL CENTER","1000 GREENLEY ROAD","","","SONORA","CA","95370","TUOLUMNE","2095323161","16.5","No Different than U.S. National Rate","13.3","20.6","116","","14.9","No Different than U.S. National Rate","11.6","18.6","171","","11.4","No Different than U.S. National Rate","8.9","14.1","353","","18.3","No Different than U.S. National Rate","14.5","22.8","72","","23.0","No Different than U.S. National Rate","19.4","27.3","194","","16.7","No Different than U.S. National Rate","14.1","19.9","373",""
"050336","LODI MEMORIAL HOSPITAL","975 S FAIRMONT AVENUE","","","LODI","CA","95240","SAN JOAQUIN","2093343411","16.3","No Different than U.S. National Rate","13.0","20.2","127","","11.9","No Different than U.S. National Rate","9.3","15.0","309","","11.2","No Different than U.S. National Rate","9.0","13.8","424","","18.3","No Different than U.S. National Rate","14.8","22.3","76","","23.6","No Different than U.S. National Rate","20.5","27.3","364","","18.9","No Different than U.S. National Rate","16.0","22.0","440",""
"050342","PIONEERS MEMORIAL HEALTHCARE DISTRICT","207 WEST LEGION ROAD","","","BRAWLEY","CA","92227","IMPERIAL","7603513333","15.1","No Different than U.S. National Rate","11.7","19.6","69","","10.8","No Different than U.S. National Rate","8.0","14.3","173","","12.3","No Different than U.S. National Rate","9.7","15.7","277","","20.9","No Different than U.S. National Rate","16.5","25.4","41","","24.2","No Different than U.S. National Rate","20.5","28.4","204","","19.4","No Different than U.S. National Rate","16.3","23.0","291",""
"050348","UNIVERSITY OF CALIFORNIA IRVINE MED CENTER","101 CITY DRIVE SOUTH","","","ORANGE","CA","92868","ORANGE","7144566112","14.9","No Different than U.S. National Rate","11.3","19.2","55","","11.8","No Different than U.S. National Rate","8.6","15.6","120","","10.5","No Different than U.S. National Rate","7.4","14.2","99","","20.0","No Different than U.S. National Rate","16.0","24.5","58","","24.6","No Different than U.S. National Rate","20.8","29.0","175","","19.5","No Different than U.S. National Rate","16.0","23.6","137",""
"050349","CORCORAN DISTRICT HOSPITAL","1310 HANNA AVE","","","CORCORAN","CA","93212","KINGS","5599925051","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"050350","BEVERLY HOSPITAL","309 W BEVERLY BLVD","","","MONTEBELLO","CA","90640","LOS ANGELES","3237261222","14.1","No Different than U.S. National Rate","11.0","17.9","95","","9.4","No Different than U.S. National Rate","7.3","11.9","296","","10.9","No Different than U.S. National Rate","8.6","13.5","246","","22.3","No Different than U.S. National Rate","18.2","27.0","87","","24.3","No Different than U.S. National Rate","21.0","27.7","370","","19.9","No Different than U.S. National Rate","16.7","23.4","250",""
"050351","TORRANCE MEMORIAL MEDICAL CENTER","3330 LOMITA BLVD","","","TORRANCE","CA","90509","LOS ANGELES","3103259110","14.9","No Different than U.S. National Rate","12.2","17.8","283","","11.0","No Different than U.S. National Rate","9.0","13.4","475","","10.8","No Different than U.S. National Rate","8.8","13.0","457","","19.8","No Different than U.S. National Rate","16.7","23.5","279","","26.2","No Different than U.S. National Rate","23.3","29.2","592","","18.7","No Different than U.S. National Rate","16.0","21.7","484",""
"050352","BARTON MEMORIAL HOSPITAL","2170 SOUTH AVENUE","","","SOUTH LAKE TAHOE","CA","96158","EL DORADO","5305413420","Not Available","Number of Cases Too Small","Not Available","Not Available","22","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.8","No Different than U.S. National Rate","7.7","15.0","54","","10.8","No Different than U.S. National Rate","7.4","15.5","69","","Not Available","Number of Cases Too Small","Not Available","Not Available","14","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.9","No Different than U.S. National Rate","19.5","29.0","66","","17.4","No Different than U.S. National Rate","13.6","22.3","73",""
"050353","PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE","4101 TORRANCE BLVD","","","TORRANCE","CA","90503","LOS ANGELES","3105407676","15.3","No Different than U.S. National Rate","12.4","18.8","180","","9.8","No Different than U.S. National Rate","7.9","12.1","487","","9.2","Better than U.S. National Rate","7.3","11.5","399","","18.7","No Different than U.S. National Rate","15.5","22.8","189","","27.2","No Different than U.S. National Rate","24.3","30.3","621","","18.7","No Different than U.S. National Rate","15.8","21.7","416",""
"050357","GOLETA VALLEY COTTAGE HOSPITAL","351 S PATTERSON AVE","","","SANTA BARBARA","CA","93111","SANTA BARBARA","8056816446","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.0","No Different than U.S. National Rate","7.9","15.3","46","","11.8","No Different than U.S. National Rate","8.2","16.7","56","","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.3","No Different than U.S. National Rate","19.5","29.7","56","","17.4","No Different than U.S. National Rate","13.5","22.3","57",""
"050359","TULARE REGIONAL MEDICAL CENTER","869 CHERRY AVENUE","","","TULARE","CA","93274","TULARE","5596880821","15.8","No Different than U.S. National Rate","12.3","20.1","81","","14.5","No Different than U.S. National Rate","11.0","19.3","143","","17.2","Worse than U.S. National Rate","13.7","21.5","239","","20.0","No Different than U.S. National Rate","15.9","24.9","44","","27.3","No Different than U.S. National Rate","22.8","32.1","166","","21.0","No Different than U.S. National Rate","17.3","25.0","238",""
"050360","MARIN GENERAL HOSPITAL","250 BON AIR ROAD, PO BOX 8010","","","GREENBRAE","CA","94904","MARIN","4159257900","13.5","No Different than U.S. National Rate","10.6","16.7","219","","12.9","No Different than U.S. National Rate","10.3","15.9","303","","10.7","No Different than U.S. National Rate","8.5","13.6","370","","18.0","No Different than U.S. National Rate","15.0","21.5","230","","24.7","No Different than U.S. National Rate","21.4","28.6","366","","17.9","No Different than U.S. National Rate","15.0","21.3","377",""
"050367","NORTHBAY MEDICAL CENTER","1200 B  GALE WILSON BLVD","","","FAIRFIELD","CA","94533","SOLANO","7076465000","16.8","No Different than U.S. National Rate","13.0","21.2","79","","10.8","No Different than U.S. National Rate","8.1","14.2","170","","13.6","No Different than U.S. National Rate","10.5","17.2","201","","20.1","No Different than U.S. National Rate","16.2","24.7","74","","26.4","No Different than U.S. National Rate","22.4","30.5","205","","20.2","No Different than U.S. National Rate","16.7","23.8","205",""
"050373","LAC+USC MEDICAL CENTER","1200 N STATE ST","","","LOS ANGELES","CA","90033","ORANGE","3232262800","17.1","No Different than U.S. National Rate","12.5","22.6","26","","11.1","No Different than U.S. National Rate","7.5","15.8","46","","13.1","No Different than U.S. National Rate","9.4","17.9","48","","Not Available","Number of Cases Too Small","Not Available","Not Available","22","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.6","No Different than U.S. National Rate","20.2","29.9","67","","19.1","No Different than U.S. National Rate","14.6","24.1","51",""
"050376","LAC/HARBOR-UCLA MED CENTER","1000 W CARSON ST","","","TORRANCE","CA","90509","LOS ANGELES","3102222101","14.8","No Different than U.S. National Rate","10.9","19.6","49","","12.0","No Different than U.S. National Rate","8.5","16.6","56","","15.7","No Different than U.S. National Rate","11.2","21.3","41","","18.5","No Different than U.S. National Rate","14.5","23.1","44","","25.3","No Different than U.S. National Rate","20.8","30.7","71","","20.2","No Different than U.S. National Rate","16.2","24.7","43",""
"050378","PACIFICA HOSPITAL OF THE VALLEY","9449 SAN FERNANDO RD","","","SUN VALLEY","CA","91352","LOS ANGELES","8187673310","Not Available","Number of Cases Too Small","Not Available","Not Available","16","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.8","No Different than U.S. National Rate","7.5","15.4","54","","13.6","No Different than U.S. National Rate","10.0","18.4","68","","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.4","No Different than U.S. National Rate","20.6","30.4","77","","19.8","No Different than U.S. National Rate","15.9","24.2","74",""
"050380","GOOD SAMARITAN HOSPITAL","2425 SAMARITAN DRIVE","","","SAN JOSE","CA","95124","SANTA CLARA","4085592011","12.7","No Different than U.S. National Rate","10.2","15.6","280","","12.1","No Different than U.S. National Rate","10.0","14.7","481","","15.2","Worse than U.S. National Rate","12.6","18.4","361","","17.6","No Different than U.S. National Rate","14.6","20.9","291","","23.1","No Different than U.S. National Rate","20.3","26.1","539","","17.2","No Different than U.S. National Rate","14.5","20.6","347",""
"050382","CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","210 W  SAN BERNARDINO ROAD","","","COVINA","CA","91723","LOS ANGELES","6268142468","12.5","No Different than U.S. National Rate","9.9","15.6","248","","8.9","Better than U.S. National Rate","7.0","11.0","524","","11.1","No Different than U.S. National Rate","8.9","13.6","403","","19.6","No Different than U.S. National Rate","16.6","23.2","263","","23.6","No Different than U.S. National Rate","21.0","26.5","618","","16.8","No Different than U.S. National Rate","14.3","19.6","416",""
"050385","PALM DRIVE HOSPITAL","501 PETALUMA AVE","","","SEBASTOPOL","CA","95472","SONOMA","7078238511","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.8","No Different than U.S. National Rate","7.9","14.7","65","","10.9","No Different than U.S. National Rate","7.8","14.7","113","","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.7","No Different than U.S. National Rate","20.8","31.0","73","","19.7","No Different than U.S. National Rate","15.6","24.5","121",""
"050390","HEMET VALLEY MEDICAL CENTER","1117 EAST DEVONSHIRE","","","HEMET","CA","92543","RIVERSIDE","9516522811","15.4","No Different than U.S. National Rate","12.5","18.7","204","","9.4","No Different than U.S. National Rate","7.3","12.0","333","","16.6","Worse than U.S. National Rate","13.6","20.1","310","","20.0","No Different than U.S. National Rate","16.4","23.8","137","","23.4","No Different than U.S. National Rate","20.4","26.9","383","","17.0","No Different than U.S. National Rate","14.4","20.2","329",""
"050393","DOWNEY REGIONAL MEDICAL CENTER","11500 BROOKSHIRE AVENUE","","","DOWNEY","CA","90241","LOS ANGELES","5269045000","14.3","No Different than U.S. National Rate","11.5","17.7","151","","9.7","No Different than U.S. National Rate","7.7","12.4","315","","10.4","No Different than U.S. National Rate","8.0","13.4","211","","19.5","No Different than U.S. National Rate","16.0","23.5","141","","24.5","No Different than U.S. National Rate","21.4","27.9","406","","16.8","No Different than U.S. National Rate","13.9","20.3","214",""
"050394","COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA","147 N BRENT ST","","","VENTURA","CA","93003","VENTURA","8056525011","14.1","No Different than U.S. National Rate","11.3","17.4","210","","10.6","No Different than U.S. National Rate","8.3","13.5","313","","15.9","Worse than U.S. National Rate","13.0","19.2","309","","17.7","No Different than U.S. National Rate","14.6","21.3","223","","22.7","No Different than U.S. National Rate","19.4","26.3","367","","16.6","No Different than U.S. National Rate","13.8","19.9","307",""
"050396","SANTA BARBARA COTTAGE HOSPITAL","400 WEST PUEBLO","","","SANTA BARBARA","CA","93102","SANTA BARBARA","8056827111","17.1","No Different than U.S. National Rate","14.1","20.6","220","","10.5","No Different than U.S. National Rate","8.4","12.8","456","","12.0","No Different than U.S. National Rate","9.7","15.0","389","","17.6","No Different than U.S. National Rate","14.4","21.3","216","","21.8","No Different than U.S. National Rate","19.0","25.0","535","","16.8","No Different than U.S. National Rate","14.2","20.1","395",""
"050397","COALINGA REGIONAL MEDICAL CENTER","1191 PHELPS AVENUE","","","COALINGA","CA","93210","FRESNO","5599356400","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.3","No Different than U.S. National Rate","7.1","14.8","33","","11.7","No Different than U.S. National Rate","8.1","16.6","37","","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","27.3","No Different than U.S. National Rate","22.0","33.2","45","","18.9","No Different than U.S. National Rate","14.7","24.2","42",""
"050407","CHINESE HOSPITAL","845 JACKSON ST","","","SAN FRANCISCO","CA","94133","SAN FRANCISCO","4159822400","13.8","No Different than U.S. National Rate","10.3","17.9","37","","8.3","Better than U.S. National Rate","6.0","11.4","116","","10.3","No Different than U.S. National Rate","7.8","13.7","216","","19.6","No Different than U.S. National Rate","15.4","24.5","25","","27.5","No Different than U.S. National Rate","22.6","32.8","122","","18.0","No Different than U.S. National Rate","14.5","22.2","211",""
"050411","KAISER FOUNDATION HOSPITAL - SOUTH BAY","25825 SOUTH VERMONT AVENUE","","","HARBOR CITY","CA","90710","LOS ANGELES","3105176441","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.8","No Different than U.S. National Rate","7.4","15.2","25","","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.1","No Different than U.S. National Rate","20.9","31.9","33","","Not Available","Number of Cases Too Small","Not Available","Not Available","12","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"050414","MERCY HOSPITAL OF FOLSOM","1650 CREEKSIDE DRIVE","","","FOLSOM","CA","95630","SACRAMENTO","9169837400","17.8","No Different than U.S. National Rate","13.9","22.4","33","","11.6","No Different than U.S. National Rate","8.7","15.4","109","","11.6","No Different than U.S. National Rate","8.5","15.3","135","","Not Available","Number of Cases Too Small","Not Available","Not Available","16","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.3","No Different than U.S. National Rate","20.2","28.9","124","","19.3","No Different than U.S. National Rate","15.5","23.6","146",""
"050417","SUTTER COAST HOSPITAL","800 E WASHINGTON BLVD","","","CRESCENT CITY","CA","95531","DEL NORTE","7074648860","16.0","No Different than U.S. National Rate","12.6","20.1","46","","13.4","No Different than U.S. National Rate","10.0","17.3","112","","9.9","No Different than U.S. National Rate","7.3","13.2","156","","18.7","No Different than U.S. National Rate","14.9","23.6","35","","22.7","No Different than U.S. National Rate","18.7","27.1","123","","18.0","No Different than U.S. National Rate","14.7","22.0","165",""
"050423","PALO VERDE HOSPITAL","250 NORTH FIRST STREET","","","BLYTHE","CA","92225","RIVERSIDE","7609224115","Not Available","Number of Cases Too Small","Not Available","Not Available","12","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.8","No Different than U.S. National Rate","8.2","17.1","34","","16.9","Worse than U.S. National Rate","12.2","23.1","83","","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.2","No Different than U.S. National Rate","20.4","30.9","42","","18.0","No Different than U.S. National Rate","14.1","22.8","79",""
"050424","SCRIPPS GREEN HOSPITAL","10666 NORTH TORREY PINES ROAD","","","LA JOLLA","CA","92037","SAN DIEGO","8585543600","13.6","No Different than U.S. National Rate","10.1","18.0","103","","8.8","No Different than U.S. National Rate","6.6","11.6","223","","10.1","No Different than U.S. National Rate","7.4","13.6","167","","18.0","No Different than U.S. National Rate","14.9","21.7","197","","21.0","No Different than U.S. National Rate","17.9","24.8","309","","17.2","No Different than U.S. National Rate","14.0","21.2","197",""
"050425","KAISER FOUNDATION HOSPITAL - SACRAMENTO","2025 MORSE AVENUE","","","SACRAMENTO","CA","95825","SACRAMENTO","9169735000","Not Available","Number of Cases Too Small","Not Available","Not Available","21","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.9","No Different than U.S. National Rate","7.7","15.1","27","","Not Available","Number of Cases Too Small","Not Available","Not Available","22","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.3","No Different than U.S. National Rate","20.6","31.1","38","","Not Available","Number of Cases Too Small","Not Available","Not Available","22","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"050426","WEST ANAHEIM MEDICAL CENTER","3033 W ORANGE AVENUE","","","ANAHEIM","CA","92804","ORANGE","7148273000","14.2","No Different than U.S. National Rate","11.0","18.1","82","","9.6","No Different than U.S. National Rate","7.4","12.3","220","","7.9","Better than U.S. National Rate","6.2","10.0","277","","18.8","No Different than U.S. National Rate","15.1","23.3","84","","25.2","No Different than U.S. National Rate","21.5","29.1","256","","19.2","No Different than U.S. National Rate","16.3","22.3","301",""
"050434","COLUSA REGIONAL MEDICAL CENTER","199 EAST WEBSTER ST","","","COLUSA","CA","95932","COLUSA","5304585821","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.4","No Different than U.S. National Rate","7.3","14.3","53","","12.7","No Different than U.S. National Rate","9.2","17.2","87","","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.6","No Different than U.S. National Rate","21.8","32.0","66","","19.4","No Different than U.S. National Rate","15.4","23.9","89",""
"050435","FALLBROOK HOSPITAL","624 E ELDER ST","","","FALLBROOK","CA","92028","SAN DIEGO","7607281191","15.5","No Different than U.S. National Rate","11.8","19.8","32","","12.9","No Different than U.S. National Rate","9.3","17.5","63","","10.6","No Different than U.S. National Rate","7.6","14.5","91","","Not Available","Number of Cases Too Small","Not Available","Not Available","16","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.9","No Different than U.S. National Rate","19.5","28.8","82","","17.3","No Different than U.S. National Rate","13.6","21.7","96",""
"050438","HUNTINGTON MEMORIAL HOSPITAL","100 W  CALIFORNIA BLVD","","","PASADENA","CA","91109","LOS ANGELES","6263975000","13.0","No Different than U.S. National Rate","10.7","15.9","267","","9.6","No Different than U.S. National Rate","7.8","11.9","501","","7.3","Better than U.S. National Rate","5.9","9.2","486","","20.7","No Different than U.S. National Rate","17.5","24.2","258","","26.3","No Different than U.S. National Rate","23.5","29.3","618","","17.7","No Different than U.S. National Rate","15.3","20.5","519",""
"050441","STANFORD HOSPITAL","300 PASTEUR DRIVE","","","STANFORD","CA","94305","SANTA CLARA","6507235708","13.4","No Different than U.S. National Rate","10.7","16.5","186","","11.1","No Different than U.S. National Rate","9.1","13.5","378","","11.8","No Different than U.S. National Rate","9.6","14.3","360","","18.3","No Different than U.S. National Rate","15.2","21.9","221","","24.0","No Different than U.S. National Rate","20.9","27.4","465","","17.4","No Different than U.S. National Rate","14.6","20.4","409",""
"050444","MERCY MEDICAL CENTER","333 MERCY AVENUE","","","MERCED","CA","95340","MERCED","2095645000","17.2","No Different than U.S. National Rate","13.9","21.1","181","","12.9","No Different than U.S. National Rate","10.7","15.5","459","","14.0","No Different than U.S. National Rate","11.6","16.7","482","","18.3","No Different than U.S. National Rate","14.9","22.1","126","","24.1","No Different than U.S. National Rate","21.2","27.2","524","","22.0","Worse than U.S. National Rate","19.0","25.1","488",""
"050448","RIDGECREST REGIONAL HOSPITAL","1081 NORTH CHINA LAKE BLVD","","","RIDGECREST","CA","93555","KERN","7604463551","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","14.9","No Different than U.S. National Rate","11.2","19.6","131","","15.2","No Different than U.S. National Rate","11.5","19.8","162","","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.3","No Different than U.S. National Rate","22.0","31.2","142","","18.0","No Different than U.S. National Rate","14.5","21.9","157",""
"050454","UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","","","SAN FRANCISCO","CA","94143","SAN FRANCISCO","4153532733","16.0","No Different than U.S. National Rate","12.8","19.6","152","","10.7","No Different than U.S. National Rate","8.4","13.5","277","","10.0","No Different than U.S. National Rate","8.0","12.5","347","","21.8","No Different than U.S. National Rate","18.1","26.2","148","","24.2","No Different than U.S. National Rate","20.9","27.7","349","","17.0","No Different than U.S. National Rate","14.5","20.0","428",""
"050455","SAN JOAQUIN COMMUNITY HOSPITAL","2615 CHESTER AVENUE","","","BAKERSFIELD","CA","93301","KERN","6613953000","16.1","No Different than U.S. National Rate","12.3","20.9","111","","11.6","No Different than U.S. National Rate","9.1","14.7","293","","12.3","No Different than U.S. National Rate","9.4","16.0","222","","21.6","No Different than U.S. National Rate","17.5","26.0","113","","26.8","No Different than U.S. National Rate","23.3","30.4","349","","21.0","No Different than U.S. National Rate","17.4","24.8","226",""
"050457","ST MARY'S MEDICAL CENTER","450 STANYAN ST","","","SAN FRANCISCO","CA","94117","SAN FRANCISCO","4156681000","14.4","No Different than U.S. National Rate","11.5","18.0","137","","10.6","No Different than U.S. National Rate","8.4","13.5","276","","13.1","No Different than U.S. National Rate","10.6","16.3","299","","17.9","No Different than U.S. National Rate","14.4","21.8","141","","25.6","No Different than U.S. National Rate","22.1","29.4","331","","18.6","No Different than U.S. National Rate","15.4","22.1","300",""
"050464","DOCTORS MEDICAL CENTER","1441 FLORIDA AVENUE","","","MODESTO","CA","95350","STANISLAUS","2095781211","14.8","No Different than U.S. National Rate","12.1","17.9","337","","11.3","No Different than U.S. National Rate","9.0","14.1","358","","13.6","No Different than U.S. National Rate","11.0","17.0","283","","20.9","No Different than U.S. National Rate","17.9","24.0","391","","23.0","No Different than U.S. National Rate","20.1","26.5","423","","16.6","No Different than U.S. National Rate","13.9","20.1","274",""
"050468","MEMORIAL HOSPITAL OF GARDENA","1145 W REDONDO BEACH BLVD","","","GARDENA","CA","90247","LOS ANGELES","3105324200","14.6","No Different than U.S. National Rate","11.1","19.0","37","","11.4","No Different than U.S. National Rate","8.6","15.1","114","","10.3","No Different than U.S. National Rate","7.7","13.6","98","","Not Available","Number of Cases Too Small","Not Available","Not Available","23","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.9","No Different than U.S. National Rate","20.9","29.4","127","","18.7","No Different than U.S. National Rate","15.3","22.5","102",""
"050471","GOOD SAMARITAN HOSPITAL","1225 WILSHIRE BOULEVARD","","","LOS ANGELES","CA","90017","LOS ANGELES","2139772121","14.9","No Different than U.S. National Rate","12.0","18.5","206","","8.5","Better than U.S. National Rate","6.7","10.5","516","","11.4","No Different than U.S. National Rate","9.3","14.0","318","","20.2","No Different than U.S. National Rate","17.0","23.7","253","","26.9","No Different than U.S. National Rate","24.1","29.7","650","","19.2","No Different than U.S. National Rate","16.2","22.4","313",""
"050481","WEST HILLS HOSPITAL & MEDICAL CENTER","7300 MEDICAL CENTER DR","","","WEST HILLS","CA","91307","LOS ANGELES","8186764100","16.1","No Different than U.S. National Rate","12.9","20.0","165","","10.4","No Different than U.S. National Rate","8.1","13.3","252","","11.4","No Different than U.S. National Rate","9.3","13.9","387","","21.4","No Different than U.S. National Rate","17.6","25.6","155","","23.7","No Different than U.S. National Rate","20.5","27.5","309","","16.9","No Different than U.S. National Rate","14.3","19.8","406",""
"050485","LONG BEACH MEMORIAL MEDICAL CENTER","2801 ATLANTIC AVE","","","LONG BEACH","CA","90806","LOS ANGELES","5629332000","13.8","No Different than U.S. National Rate","11.0","17.2","216","","8.8","Better than U.S. National Rate","7.0","11.0","478","","12.6","No Different than U.S. National Rate","10.2","15.5","317","","22.8","No Different than U.S. National Rate","19.1","27.0","229","","24.4","No Different than U.S. National Rate","21.7","27.4","613","","19.4","No Different than U.S. National Rate","16.4","22.7","318",""
"050488","EDEN MEDICAL CENTER","20103 LAKE CHABOT ROAD","","","CASTRO VALLEY","CA","94546","ALAMEDA","5105371234","14.1","No Different than U.S. National Rate","11.2","17.3","101","","11.0","No Different than U.S. National Rate","8.8","13.8","237","","8.9","Better than U.S. National Rate","6.9","11.3","240","","19.2","No Different than U.S. National Rate","15.6","23.2","81","","25.3","No Different than U.S. National Rate","21.5","29.1","262","","18.2","No Different than U.S. National Rate","15.1","21.6","247",""
"050492","CLOVIS COMMUNITY MEDICAL CENTER","2755 HERNDON AVE","","","CLOVIS","CA","93611","FRESNO","5593244000","15.1","No Different than U.S. National Rate","11.6","19.3","102","","15.9","Worse than U.S. National Rate","12.2","20.5","133","","11.5","No Different than U.S. National Rate","9.0","14.6","285","","18.7","No Different than U.S. National Rate","14.8","23.0","92","","22.0","No Different than U.S. National Rate","18.1","26.4","141","","17.0","No Different than U.S. National Rate","14.1","20.7","291",""
"050496","JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","2540 EAST ST","","","CONCORD","CA","94520","CONTRA COSTA","9256742002","15.8","No Different than U.S. National Rate","12.8","19.2","160","","9.3","No Different than U.S. National Rate","7.5","11.6","383","","10.6","No Different than U.S. National Rate","8.3","13.4","272","","18.4","No Different than U.S. National Rate","15.4","21.9","209","","22.2","No Different than U.S. National Rate","19.3","25.3","432","","18.3","No Different than U.S. National Rate","15.4","21.8","260",""
